"gene_id","OLD_LEAF-YOUNG_LEAF","INFECTED-UNINFECTED","I:Tissue_OLD_LEAF-Treatment_INFECTED"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-247.15-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-248.13-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-248.16-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-249.6-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-250.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-250.17-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-251.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-251.16-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-252.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-252.2-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-253.1-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-253.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-253.18-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-253.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-253.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-255.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-255.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-256.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-256.14-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-256.17-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-256.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-256.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-256.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-257.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-257.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-258.17-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-258.20-MRNA-1","None","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-258.22-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-258.8-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-261.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-262.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-263.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-263.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-265.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-267.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-268.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-268.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-269.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-27.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-270.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-270.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-270.5-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-271.1-MRNA-1","None","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-271.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-271.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-272.15-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-272.16-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-272.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-274.20-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-274.21-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-274.22-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-274.28-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-274.37-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-29.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-30.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-31.8-MRNA-1","Up","None","None"
